,date,open,high,low,close,volume,average,barCount
0,2024-04-29 04:00:00,432.75,432.94,432.35,432.49,502.1,432.68,244
1,2024-04-29 05:00:00,432.49,432.68,431.82,431.91,404.0,432.279,181
2,2024-04-29 06:00:00,431.93,432.79,431.93,432.54,394.48,432.437,162
3,2024-04-29 07:00:00,432.55,433.07,432.21,432.94,1101.76,432.664,424
4,2024-04-29 08:00:00,432.52,433.26,432.18,433.13,2266.48,432.933,766
5,2024-04-29 09:00:00,433.14,433.76,430.9,431.8,44721.55,432.225,24914
6,2024-04-29 10:00:00,431.8,432.99,431.71,432.24,35249.77,432.361,21090
7,2024-04-29 11:00:00,432.27,432.38,431.26,432.29,20145.48,431.937,11487
8,2024-04-29 12:00:00,432.31,432.93,432.17,432.53,19181.83,432.553,9845
9,2024-04-29 13:00:00,432.52,433.35,431.98,433.0,18989.54,432.77,10003
10,2024-04-29 14:00:00,432.97,432.97,431.25,432.31,23463.76,432.169,13417
11,2024-04-29 15:00:00,432.3,432.86,429.98,432.74,61331.89,431.584,32372
12,2024-04-29 16:00:00,432.76,433.33,432.74,432.91,12195.03,432.896,1808
13,2024-04-29 17:00:00,432.92,433.07,432.87,432.92,265.51,432.951,138
14,2024-04-29 18:00:00,432.99,433.0,432.75,432.81,266.24,432.842,89
15,2024-04-29 19:00:00,432.85,432.9,432.75,432.82,232.62,432.851,84
16,2024-04-30 04:00:00,432.75,432.79,432.0,432.0,406.96,432.386,197
17,2024-04-30 05:00:00,431.9,432.32,431.79,431.93,150.93,432.041,61
18,2024-04-30 06:00:00,432.06,432.55,431.96,432.51,290.75,432.311,95
19,2024-04-30 07:00:00,432.46,432.56,432.0,432.08,1170.58,432.25,329
20,2024-04-30 08:00:00,432.53,433.08,430.07,430.9,4695.96,430.783,1570
21,2024-04-30 09:00:00,430.94,432.36,430.59,431.97,26323.52,431.478,12883
22,2024-04-30 10:00:00,431.96,432.56,430.7,431.2,32421.69,431.614,17013
23,2024-04-30 11:00:00,431.19,431.23,428.65,429.43,37427.54,429.586,21395
24,2024-04-30 12:00:00,429.43,429.7,427.46,427.98,31357.28,428.557,17595
25,2024-04-30 13:00:00,427.99,428.78,427.3,428.56,23274.57,428.037,13253
26,2024-04-30 14:00:00,428.57,428.97,427.12,427.43,26990.62,428.061,15096
27,2024-04-30 15:00:00,427.42,428.05,424.51,424.53,97149.93,426.223,52830
28,2024-04-30 16:00:00,424.53,426.16,422.48,423.22,30368.16,424.459,7219
29,2024-04-30 17:00:00,423.24,423.3,422.12,422.24,2599.31,422.884,1189
30,2024-04-30 18:00:00,422.13,424.59,421.99,422.92,2259.87,422.727,538
31,2024-04-30 19:00:00,422.92,423.27,422.6,423.17,764.34,422.95,217
32,2024-05-01 04:00:00,422.33,422.78,422.15,422.47,307.32,422.413,114
33,2024-05-01 05:00:00,422.46,422.47,421.09,421.53,545.5,421.51,181
34,2024-05-01 06:00:00,421.54,422.12,421.0,422.12,473.83,421.49,144
35,2024-05-01 07:00:00,422.13,422.44,421.65,421.81,1328.56,422.062,383
36,2024-05-01 08:00:00,422.14,424.91,421.15,423.04,3564.64,422.695,1065
37,2024-05-01 09:00:00,423.03,423.54,422.04,422.54,41064.06,422.859,23715
38,2024-05-01 10:00:00,422.51,423.25,421.3,422.8,36939.85,422.312,22892
39,2024-05-01 11:00:00,422.8,422.93,420.97,421.2,33433.97,421.949,20148
40,2024-05-01 12:00:00,421.19,422.31,420.66,421.48,23523.02,421.635,14356
41,2024-05-01 13:00:00,421.48,422.5,421.0,422.35,20378.08,421.82,12171
42,2024-05-01 14:00:00,422.35,429.15,422.16,429.15,101475.77,425.238,62493
43,2024-05-01 15:00:00,429.16,430.14,421.3,421.45,124581.44,425.724,79244
44,2024-05-01 16:00:00,421.45,422.75,421.45,422.5,15050.34,421.958,4352
45,2024-05-01 17:00:00,422.53,423.11,422.38,423.1,2568.81,422.828,790
46,2024-05-01 18:00:00,423.1,423.45,421.52,423.16,3637.25,422.3,568
47,2024-05-01 19:00:00,423.13,423.9,421.52,423.86,2211.59,422.38,291
48,2024-05-02 04:00:00,425.05,425.68,424.6,424.79,602.69,425.281,238
49,2024-05-02 05:00:00,424.85,425.43,424.84,425.43,198.4,425.084,76
50,2024-05-02 06:00:00,425.5,425.82,425.16,425.67,604.72,425.513,146
51,2024-05-02 07:00:00,425.6,426.04,424.96,425.07,1576.71,425.588,467
52,2024-05-02 08:00:00,425.62,426.16,424.0,425.1,4246.18,425.502,1376
53,2024-05-02 09:00:00,425.15,425.76,422.92,423.33,47635.73,424.307,28994
54,2024-05-02 10:00:00,423.31,424.28,420.63,424.04,51378.9,422.649,25979
55,2024-05-02 11:00:00,424.03,425.05,423.08,424.81,26412.41,424.176,14308
56,2024-05-02 12:00:00,424.82,424.93,423.18,424.09,19025.99,424.023,10489
57,2024-05-02 13:00:00,424.13,426.13,424.13,425.63,23577.62,425.358,12232
58,2024-05-02 14:00:00,425.65,427.47,425.45,427.31,26936.76,426.589,14133
59,2024-05-02 15:00:00,427.32,427.81,426.05,426.93,55347.05,426.85,33299
60,2024-05-02 16:00:00,426.93,429.44,426.64,429.17,20498.19,428.053,5936
61,2024-05-02 17:00:00,429.17,429.7,428.72,429.1,2541.53,429.158,1004
62,2024-05-02 18:00:00,429.1,430.59,428.72,429.27,2889.28,429.411,713
63,2024-05-02 19:00:00,429.29,429.52,429.13,429.45,353.62,429.303,122
64,2024-05-03 04:00:00,429.32,429.89,429.24,429.71,397.89,429.533,121
65,2024-05-03 05:00:00,429.71,429.71,429.31,429.58,123.79,429.488,52
66,2024-05-03 06:00:00,429.73,430.12,429.52,429.52,560.65,429.97,122
67,2024-05-03 07:00:00,429.5,429.98,429.25,429.37,668.37,429.608,243
68,2024-05-03 08:00:00,429.56,434.54,428.78,433.6,8158.0,432.642,2528
69,2024-05-03 09:00:00,433.62,435.88,433.43,435.42,57354.82,434.615,33531
70,2024-05-03 10:00:00,435.44,436.48,432.62,433.62,80295.87,434.14,50200
71,2024-05-03 11:00:00,433.64,435.54,432.89,435.1,41891.77,434.235,21594
72,2024-05-03 12:00:00,435.09,435.59,434.51,434.74,26790.15,435.162,14453
73,2024-05-03 13:00:00,434.75,435.51,434.64,435.09,21079.61,435.165,11584
74,2024-05-03 14:00:00,435.09,436.07,435.08,435.63,21689.84,435.755,12405
75,2024-05-03 15:00:00,435.64,436.0,435.15,435.48,56911.78,435.527,32661
76,2024-05-03 16:00:00,435.48,436.09,435.43,436.03,15338.18,435.603,1569
77,2024-05-03 17:00:00,436.02,436.1,435.88,436.1,477.36,435.995,192
78,2024-05-03 18:00:00,436.1,436.28,436.04,436.13,135.48,436.169,84
79,2024-05-03 19:00:00,436.06,436.2,436.04,436.15,164.81,436.119,69
